nohup: ignoring input
2021-01-18 21:31:05,001INFO	init dataset...
2021-01-18 21:37:55,347INFO	epcoh:[0][680/782]	loss:0.18564(0.20679)	
2021-01-18 21:38:02,820INFO	epcoh:[0][690/782]	loss:0.18788(0.20654)	
2021-01-18 21:38:10,244INFO	epcoh:[0][700/782]	loss:0.20041(0.20622)	
2021-01-18 21:38:17,365INFO	epcoh:[0][710/782]	loss:0.17467(0.20619)	
2021-01-18 21:38:23,625INFO	epcoh:[0][720/782]	loss:0.18393(0.20607)	
2021-01-18 21:38:29,152INFO	epcoh:[0][730/782]	loss:0.17014(0.20607)	
2021-01-18 21:38:34,695INFO	epcoh:[0][740/782]	loss:0.19488(0.20592)	
2021-01-18 21:38:40,192INFO	epcoh:[0][750/782]	loss:0.22387(0.20588)	
2021-01-18 21:38:45,652INFO	epcoh:[0][760/782]	loss:0.15814(0.20567)	
2021-01-18 21:38:51,929INFO	epcoh:[0][770/782]	loss:0.20319(0.20572)	
2021-01-18 21:38:57,364INFO	epcoh:[0][780/782]	loss:0.22901(0.20569)	
2021-01-18 21:47:53,495INFO	epcoh:[1][0/782]	loss:0.23100(0.23100)	
2021-01-18 21:47:58,545INFO	epcoh:[1][10/782]	loss:0.17261(0.19394)	
2021-01-18 21:48:04,144INFO	epcoh:[1][20/782]	loss:0.18845(0.19189)	
2021-01-18 21:48:09,829INFO	epcoh:[1][30/782]	loss:0.19813(0.19145)	
2021-01-18 21:48:15,677INFO	epcoh:[1][40/782]	loss:0.17860(0.18962)	
2021-01-18 21:48:21,337INFO	epcoh:[1][50/782]	loss:0.20732(0.18934)	
2021-01-18 21:48:27,025INFO	epcoh:[1][60/782]	loss:0.17304(0.19050)	
2021-01-18 21:48:32,405INFO	epcoh:[1][70/782]	loss:0.21371(0.19112)	
2021-01-18 21:48:41,215INFO	epcoh:[1][80/782]	loss:0.18541(0.19029)	
2021-01-18 21:48:46,701INFO	epcoh:[1][90/782]	loss:0.18961(0.19004)	
2021-01-18 21:48:52,335INFO	epcoh:[1][100/782]	loss:0.20976(0.19076)	
2021-01-18 21:48:58,283INFO	epcoh:[1][110/782]	loss:0.21568(0.19109)	
2021-01-18 21:49:04,471INFO	epcoh:[1][120/782]	loss:0.20275(0.19107)	
2021-01-18 21:49:09,895INFO	epcoh:[1][130/782]	loss:0.19181(0.19044)	
2021-01-18 21:49:14,667INFO	epcoh:[1][140/782]	loss:0.19049(0.18995)	
2021-01-18 21:49:20,257INFO	epcoh:[1][150/782]	loss:0.21632(0.19049)	
2021-01-18 21:49:26,036INFO	epcoh:[1][160/782]	loss:0.20727(0.19036)	
2021-01-18 21:49:31,521INFO	epcoh:[1][170/782]	loss:0.16511(0.18947)	
2021-01-18 21:49:36,658INFO	epcoh:[1][180/782]	loss:0.19014(0.18943)	
2021-01-18 21:49:41,564INFO	epcoh:[1][190/782]	loss:0.21250(0.18964)	
2021-01-18 21:49:46,169INFO	epcoh:[1][200/782]	loss:0.18575(0.18949)	
2021-01-18 21:49:50,726INFO	epcoh:[1][210/782]	loss:0.19413(0.18912)	
2021-01-18 21:49:55,528INFO	epcoh:[1][220/782]	loss:0.20905(0.18899)	
2021-01-18 21:50:00,334INFO	epcoh:[1][230/782]	loss:0.19595(0.18890)	
2021-01-18 21:50:05,104INFO	epcoh:[1][240/782]	loss:0.16770(0.18896)	
2021-01-18 21:50:10,137INFO	epcoh:[1][250/782]	loss:0.17313(0.18884)	
2021-01-18 21:50:16,058INFO	epcoh:[1][260/782]	loss:0.17758(0.18906)	
2021-01-18 21:50:21,474INFO	epcoh:[1][270/782]	loss:0.19810(0.18918)	
2021-01-18 21:50:27,313INFO	epcoh:[1][280/782]	loss:0.20680(0.18923)	
2021-01-18 21:50:33,186INFO	epcoh:[1][290/782]	loss:0.19471(0.18920)	
2021-01-18 21:50:39,205INFO	epcoh:[1][300/782]	loss:0.18596(0.18919)	
2021-01-18 21:50:45,893INFO	epcoh:[1][310/782]	loss:0.17259(0.18922)	
2021-01-18 21:50:51,603INFO	epcoh:[1][320/782]	loss:0.18260(0.18912)	
2021-01-18 21:50:57,082INFO	epcoh:[1][330/782]	loss:0.18595(0.18906)	
